Date,Open,High,Low,Close
05/03/2024,"22,766.35","22,794.70","22,348.05","22,475.85"
05/02/2024,"22,567.85","22,710.50","22,567.85","22,648.20"
04/30/2024,"22,679.65","22,783.35","22,568.40","22,604.85"
04/29/2024,"22,475.55","22,655.80","22,441.90","22,643.40"
04/26/2024,"22,620.40","22,620.40","22,385.55","22,419.95"
04/25/2024,"22,316.90","22,625.95","22,305.25","22,570.35"
04/24/2024,"22,421.55","22,476.45","22,384.00","22,402.40"
04/23/2024,"22,447.05","22,447.55","22,349.45","22,368.00"
04/22/2024,"22,336.90","22,375.65","22,198.15","22,336.40"
04/19/2024,"21,861.50","22,179.55","21,777.65","22,147.00"
04/18/2024,"22,212.35","22,326.50","21,961.70","21,995.85"
04/16/2024,"22,125.30","22,213.75","22,079.45","22,147.90"
04/15/2024,"22,339.05","22,427.45","22,259.55","22,272.50"
04/12/2024,"22,677.40","22,726.45","22,503.75","22,519.40"
04/10/2024,"22,720.25","22,775.70","22,673.70","22,753.80"
04/09/2024,"22,765.10","22,768.40","22,612.25","22,642.75"
04/08/2024,"22,578.35","22,697.30","22,550.35","22,666.30"
04/05/2024,"22,486.40","22,537.60","22,427.60","22,513.70"
04/04/2024,"22,592.10","22,619.00","22,303.80","22,514.65"
04/03/2024,"22,385.70","22,521.10","22,346.50","22,434.65"
